Date,Clicks,Impressions,CTR,Position
2025-03-03,0,55,0%,43.71
2025-03-02,1,57,1.75%,44.09
2025-03-01,0,57,0%,46.58
2025-02-28,0,61,0%,42.9
2025-02-27,0,60,0%,46.13
2025-02-26,3,73,4.11%,42.25
2025-02-25,0,72,0%,48.62
2025-02-24,0,74,0%,52.19
2025-02-23,0,123,0%,40.96
2025-02-22,2,143,1.4%,40.82
2025-02-21,0,59,0%,38.8
2025-02-20,0,65,0%,40.51
2025-02-19,3,65,4.62%,35.69
2025-02-18,0,59,0%,37.66
2025-02-17,1,64,1.56%,37.73
2025-02-16,0,52,0%,37.25
2025-02-15,1,61,1.64%,40.1
2025-02-14,0,66,0%,38.41
2025-02-13,1,64,1.56%,42.23
2025-02-12,0,48,0%,45.58
2025-02-11,3,61,4.92%,40.98
2025-02-10,0,64,0%,48.03
2025-02-09,1,58,1.72%,43.81
2025-02-08,0,58,0%,46.29
2025-02-07,0,59,0%,46.32
2025-02-06,0,53,0%,47.96
2025-02-05,0,54,0%,51.81
2025-02-04,0,64,0%,48.91
2025-02-03,1,57,1.75%,43.96
2025-02-02,0,61,0%,51.05
2025-02-01,0,55,0%,48.78
2025-01-31,2,54,3.7%,44.17
2025-01-30,0,52,0%,48.17
2025-01-29,0,56,0%,50.66
2025-01-28,2,55,3.64%,50
2025-01-27,0,50,0%,50.1
2025-01-26,0,50,0%,47.76
2025-01-25,1,54,1.85%,46.85
2025-01-24,0,56,0%,41.66
2025-01-23,2,47,4.26%,37.87
2025-01-22,1,54,1.85%,32.48
2025-01-21,0,43,0%,44.53
2025-01-20,0,59,0%,44.75
2025-01-19,0,55,0%,46.27
2025-01-18,0,46,0%,49.8
2025-01-17,0,40,0%,50.17
2025-01-16,1,40,2.5%,49.67
2025-01-15,5,46,10.87%,46.26
2025-01-14,0,47,0%,57.62
2025-01-13,1,52,1.92%,56.31
2025-01-12,1,54,1.85%,39.7
2025-01-11,0,64,0%,45.08
2025-01-10,0,52,0%,45.37
2025-01-09,1,50,2%,41.7
2025-01-08,0,43,0%,46.91
2025-01-07,1,45,2.22%,39.07
2025-01-06,0,62,0%,40.23
2025-01-05,0,60,0%,49.73
2025-01-04,0,60,0%,50.25
2025-01-03,0,56,0%,48.54
2025-01-02,0,58,0%,42.97
2025-01-01,0,58,0%,49.91
2024-12-31,1,57,1.75%,48.63
2024-12-30,0,62,0%,51.18
2024-12-29,1,58,1.72%,50.19
2024-12-28,0,57,0%,51.39
2024-12-27,0,55,0%,48.18
2024-12-26,0,53,0%,42.92
2024-12-25,0,52,0%,55.23
2024-12-24,0,52,0%,46.1
2024-12-23,1,64,1.56%,50.52
2024-12-22,0,44,0%,50.25
2024-12-21,1,55,1.82%,48.15
2024-12-20,0,42,0%,48.14
2024-12-19,0,43,0%,51.44
2024-12-18,0,42,0%,48.29
2024-12-17,0,52,0%,52.77
2024-12-16,0,63,0%,54.97
2024-12-15,0,54,0%,51.3
2024-12-14,1,47,2.13%,44.51
2024-12-13,0,51,0%,40.04
2024-12-12,0,59,0%,40.27
2024-12-11,0,67,0%,33.01
2024-12-10,1,52,1.92%,40.08
2024-12-09,0,75,0%,42.04
2024-12-08,0,54,0%,50
2024-12-07,0,62,0%,52.95
2024-12-06,0,68,0%,54.07
2024-12-05,0,68,0%,48.12
2024-12-04,1,67,1.49%,52.18
2024-12-03,0,77,0%,47.27
2024-12-02,1,86,1.16%,55.1
2024-12-01,0,67,0%,43.21
2024-11-30,0,58,0%,46.93
2024-11-29,1,56,1.79%,46.62
2024-11-28,0,59,0%,49.07
2024-11-27,3,85,3.53%,33.42
2024-11-26,1,69,1.45%,43.1
2024-11-25,1,79,1.27%,47.38
2024-11-24,0,68,0%,48.79
2024-11-23,0,60,0%,53.43
2024-11-22,0,62,0%,48.23
2024-11-21,0,59,0%,44.15
2024-11-20,3,60,5%,45.58
2024-11-19,0,69,0%,52.28
2024-11-18,2,84,2.38%,46.07
2024-11-17,1,59,1.69%,53.31
2024-11-16,0,48,0%,42.75
2024-11-15,0,61,0%,55.41
2024-11-14,0,78,0%,45.38
2024-11-13,1,57,1.75%,40.12
2024-11-12,0,60,0%,36.32
2024-11-11,1,78,1.28%,44.28
2024-11-10,0,61,0%,39.64
2024-11-09,0,54,0%,40.98
2024-11-08,1,51,1.96%,44.14
2024-11-07,1,47,2.13%,43.68
2024-11-06,2,59,3.39%,45.31
2024-11-05,0,46,0%,43.15
2024-11-04,1,72,1.39%,43.61
2024-11-03,0,50,0%,43.72
2024-11-02,0,46,0%,41.15
2024-11-01,1,50,2%,43.92
2024-10-31,0,51,0%,47.86
2024-10-30,2,49,4.08%,40.24
2024-10-29,1,60,1.67%,40.72
2024-10-28,2,71,2.82%,39.42
2024-10-27,0,49,0%,44.1
2024-10-26,1,39,2.56%,40.23
2024-10-25,1,54,1.85%,37.94
2024-10-24,0,39,0%,46.49
2024-10-23,0,50,0%,46.22
2024-10-22,0,47,0%,47.23
2024-10-21,0,82,0%,47.56
2024-10-20,0,50,0%,45.3
2024-10-19,0,59,0%,41.39
2024-10-18,0,44,0%,39.57
2024-10-17,0,58,0%,35.36
2024-10-16,3,63,4.76%,42.57
2024-10-15,2,51,3.92%,44.88
2024-10-14,0,78,0%,43.06
2024-10-13,0,47,0%,45.02
2024-10-12,0,48,0%,42.06
2024-10-11,1,66,1.52%,42.77
2024-10-10,0,52,0%,42.63
2024-10-09,0,52,0%,43.4
2024-10-08,0,51,0%,43.02
2024-10-07,0,87,0%,45.82
2024-10-06,0,49,0%,45.16
2024-10-05,0,48,0%,44.88
2024-10-04,0,42,0%,41.57
2024-10-03,1,41,2.44%,47.54
2024-10-02,4,45,8.89%,34
2024-10-01,0,43,0%,37.23
2024-09-30,0,76,0%,45.05
2024-09-29,0,37,0%,48.43
2024-09-28,0,43,0%,48.16
2024-09-27,0,48,0%,43.98
2024-09-26,0,38,0%,43.26
2024-09-25,0,33,0%,43.79
2024-09-24,0,33,0%,35.82
2024-09-23,0,77,0%,48.55
2024-09-22,0,29,0%,47.24
2024-09-21,0,35,0%,43.66
2024-09-20,0,40,0%,45.3
2024-09-19,0,32,0%,40.28
2024-09-18,4,44,9.09%,35.86
2024-09-17,0,44,0%,47.14
2024-09-16,1,76,1.32%,44.67
2024-09-15,0,41,0%,47.15
2024-09-14,0,36,0%,44.19
2024-09-13,0,38,0%,45.71
2024-09-12,1,39,2.56%,49.08
2024-09-11,1,42,2.38%,52.45
2024-09-10,0,28,0%,44.71
2024-09-09,1,59,1.69%,47.64
2024-09-08,1,35,2.86%,46.97
2024-09-07,0,31,0%,48.52
2024-09-06,0,29,0%,49.69
2024-09-05,0,29,0%,44.45
2024-09-04,0,30,0%,43.37
2024-09-03,0,28,0%,46.21
2024-09-02,0,18,0%,58.17
2024-09-01,0,0,0%,0
